Date,VT(e),Ti,Te,RR,I:E,PEEP,PIP,O2,RSD_VT,RSD_RR,RSD_IE,RSD_PEEP,RSD_PIP,RSD_O2
2024-11-22 15:27:20,563.0,1.02,4.04,11.9,1:3.95,5.02,13.05,21.1,7.2,5.0,8.45,2.15,5.48,0.0
2024-11-22 15:27:29,637.0,1.02,4.04,11.9,1:3.95,5.0,14.4,21.1,7.17,4.97,8.39,2.14,5.46,0.0
2024-11-22 15:27:37,633.0,1.02,4.04,11.9,1:3.95,5.06,14.27,21.1,7.13,4.93,8.34,2.12,5.43,0.0
2024-11-22 15:27:46,625.0,1.02,4.04,11.9,1:3.97,5.0,14.24,21.1,7.08,4.9,8.28,2.11,5.4,0.0
2024-11-22 15:27:54,546.0,1.02,4.04,11.9,1:3.96,5.05,12.83,21.1,7.15,4.86,8.23,2.1,5.44,0.0
2024-11-22 15:28:03,624.0,1.02,4.04,11.9,1:3.97,5.05,14.1,21.1,7.1,4.83,8.17,2.08,5.41,0.0
2024-11-22 15:28:11,652.0,1.02,4.06,11.8,1:3.97,5.2,14.6,21.1,7.09,4.8,8.12,2.09,5.4,0.0
2024-11-22 15:28:20,608.0,1.02,4.04,11.9,1:3.95,4.94,13.83,21.1,7.05,4.77,8.07,2.1,5.36,0.0
2024-11-22 15:28:29,586.0,1.01,4.04,11.9,1:3.98,5.11,13.41,21.1,7.02,4.74,8.02,2.09,5.34,0.0
2024-11-22 15:28:37,550.0,1.01,4.04,11.9,1:3.98,5.1,12.92,21.1,7.07,4.71,7.97,2.08,5.37,0.0
2024-11-22 15:28:46,618.0,1.02,4.04,11.9,1:3.95,5.07,14.03,21.1,7.02,4.68,7.92,2.06,5.34,0.0
2024-11-22 15:28:55,589.0,1.02,4.04,11.9,1:3.95,5.08,13.4,21.1,6.99,4.65,7.87,2.05,5.32,0.0
2024-11-22 15:29:03,540.0,1.02,4.04,11.9,1:3.96,4.89,12.56,21.1,7.06,4.62,7.82,2.07,5.39,0.0
2024-11-22 15:29:11,612.0,1.02,4.04,11.9,1:3.96,5.16,13.91,21.1,7.02,4.59,7.78,2.07,5.36,0.0
2024-11-22 15:29:20,576.0,1.03,4.04,11.9,1:3.93,4.99,13.24,21.1,7.0,4.56,7.73,2.06,5.35,0.0
2024-11-22 15:29:29,667.0,1.01,4.05,11.9,1:3.99,5.19,14.85,21.1,7.04,4.54,7.69,2.07,5.37,0.0
2024-11-22 15:29:37,615.0,1.02,4.04,11.9,1:3.95,5.04,13.84,21.1,7.0,4.51,7.65,2.06,5.34,0.0
2024-11-22 15:29:46,600.0,1.03,4.04,11.8,1:3.92,5.14,13.7,21.1,6.96,4.48,7.61,2.05,5.31,0.0
2024-11-22 15:29:55,681.0,1.01,4.04,11.9,1:4.00,5.14,15.03,21.1,7.03,4.46,7.56,2.05,5.35,0.0
2024-11-22 15:30:03,622.0,1.02,4.05,11.8,1:3.98,4.95,14.03,21.1,6.99,4.43,7.52,2.05,5.32,0.0
2024-11-22 15:30:12,570.0,1.03,4.03,11.9,1:3.91,5.05,13.08,21.1,6.99,4.41,7.48,2.04,5.33,0.0
2024-11-22 15:30:20,638.0,1.02,4.05,11.8,1:3.95,5.01,14.19,21.1,6.96,4.38,7.44,2.03,5.31,0.0
2024-11-22 15:30:29,593.0,1.02,4.04,11.9,1:3.96,5.03,13.57,21.1,6.93,4.36,7.4,2.02,5.28,0.0
2024-11-22 15:30:38,637.0,1.02,4.04,11.9,1:3.95,5.1,14.32,21.1,6.91,4.34,7.36,2.01,5.26,0.0
2024-11-22 15:30:46,628.0,1.02,4.04,11.9,1:3.96,5.03,14.16,21.1,6.87,4.31,7.33,2.0,5.24,0.0
2024-11-22 15:30:55,629.0,1.02,4.04,11.9,1:3.96,5.01,14.14,21.1,6.84,4.29,7.29,1.99,5.21,0.0
2024-11-22 15:31:04,636.0,1.02,4.04,11.9,1:3.95,5.03,14.36,21.1,6.82,4.27,7.25,1.98,5.2,0.0
2024-11-22 15:31:13,675.0,1.02,4.04,11.9,1:3.95,5.23,15.04,21.1,6.86,4.24,7.22,2.0,5.24,0.0
2024-11-22 15:31:22,627.0,1.02,4.04,11.9,1:3.96,5.12,14.06,21.1,6.83,4.22,7.18,1.99,5.21,0.0
2024-11-22 15:31:30,617.0,1.02,4.04,11.9,1:3.95,4.95,13.93,21.1,6.8,4.2,7.14,2.0,5.18,0.0
2024-11-22 15:31:39,600.0,1.02,4.04,11.9,1:3.95,5.01,13.6,21.1,6.77,4.18,7.11,1.99,5.16,0.0
2024-11-22 15:31:47,700.0,1.02,4.04,11.9,1:3.94,5.13,15.46,21.1,6.88,4.16,7.08,1.98,5.25,0.0
2024-11-22 15:31:56,577.0,1.04,4.04,11.8,1:3.89,4.96,13.32,21.1,6.87,4.14,7.05,1.98,5.25,0.0
2024-11-22 15:32:05,596.0,1.02,4.04,11.8,1:3.94,5.03,13.65,21.1,6.84,4.12,7.01,1.97,5.22,0.0
2024-11-22 15:32:14,602.0,1.03,4.04,11.8,1:3.94,4.96,13.72,21.1,6.81,4.1,6.98,1.98,5.2,0.0
2024-11-22 15:32:23,596.0,1.03,4.04,11.8,1:3.93,4.96,13.5,21.1,6.78,4.08,6.95,1.98,5.18,0.0
2024-11-22 15:32:31,616.0,1.04,4.04,11.8,1:3.90,4.89,13.84,21.1,6.75,4.06,6.92,1.99,5.16,0.0
2024-11-22 15:32:40,638.0,1.03,4.04,11.8,1:3.92,5.01,14.24,21.1,6.73,4.04,6.89,1.99,5.14,0.0
2024-11-22 15:32:49,603.0,1.03,4.04,11.8,1:3.93,5.09,13.67,21.1,6.7,4.02,6.86,1.98,5.12,0.0
2024-11-22 15:32:58,681.0,1.03,4.04,11.8,1:3.94,5.17,15.07,21.1,6.75,4.0,6.83,1.98,5.16,0.0
2024-11-22 15:33:07,647.0,1.03,4.04,11.8,1:3.92,5.13,14.42,21.1,6.74,3.98,6.81,1.97,5.14,0.0
2024-11-22 15:33:15,573.0,1.01,4.04,11.9,1:3.98,4.99,13.22,21.1,6.74,3.97,6.77,1.97,5.14,0.0
2024-11-22 15:33:24,621.0,1.02,4.04,11.9,1:3.95,5.05,13.94,21.1,6.71,3.95,6.75,1.96,5.12,0.0
2024-11-22 15:33:33,608.0,1.02,4.05,11.8,1:3.97,5.01,13.8,21.1,6.68,3.93,6.72,1.95,5.1,0.0
2024-11-22 15:33:41,644.0,1.02,4.04,11.9,1:3.97,5.12,14.39,21.1,6.67,3.91,6.69,1.95,5.08,0.0
2024-11-22 15:33:50,520.0,1.02,4.04,11.9,1:3.97,5.1,12.45,21.1,6.79,3.9,6.66,1.94,5.16,0.0
2024-11-22 15:33:58,601.0,0.99,4.04,11.9,1:4.07,4.98,13.81,21.1,6.77,3.88,6.63,1.94,5.14,0.0
2024-11-22 15:34:07,613.0,1.03,4.04,11.8,1:3.92,5.07,13.94,21.1,6.74,3.86,6.6,1.93,5.11,0.0
2024-11-22 15:34:16,608.0,1.02,4.04,11.9,1:3.95,5.02,13.73,21.1,6.71,3.85,6.58,1.92,5.09,0.0
2024-11-22 15:34:25,630.0,1.02,4.05,11.8,1:3.95,5.18,14.13,21.1,6.68,3.83,6.55,1.93,5.07,0.0
2024-11-22 15:34:33,525.0,1.01,4.04,11.9,1:3.98,4.98,12.47,21.1,6.79,3.81,6.52,1.92,5.14,0.0
2024-11-22 15:34:42,629.0,1.02,4.04,11.9,1:3.95,5.12,14.16,21.1,6.76,3.8,6.49,1.92,5.12,0.0
2024-11-22 15:34:51,537.0,1.02,4.05,11.8,1:3.98,5.04,12.6,21.1,6.83,3.78,6.47,1.91,5.17,0.0
2024-11-22 15:35:00,571.0,1.02,4.04,11.9,1:3.97,5.21,13.25,21.1,6.83,3.77,6.44,1.92,5.17,0.0
2024-11-22 15:35:09,587.0,1.01,4.04,11.9,1:3.99,5.12,13.4,21.1,6.81,3.75,6.42,1.92,5.16,0.0
2024-11-22 15:35:17,597.0,1.02,4.04,11.9,1:3.96,5.14,13.62,21.1,6.79,3.74,6.39,1.92,5.14,0.0
2024-11-22 15:35:26,557.0,1.02,4.05,11.9,1:3.98,5.16,12.99,21.1,6.81,3.72,6.36,1.92,5.15,0.0
2024-11-22 15:35:35,576.0,1.02,4.04,11.9,1:3.95,5.12,13.27,21.1,6.8,3.71,6.34,1.91,5.15,0.0
2024-11-22 15:35:43,678.0,1.03,4.04,11.8,1:3.91,5.23,15.1,21.1,6.84,3.69,6.32,1.93,5.18,0.0
2024-11-22 15:35:52,656.0,1.02,4.04,11.9,1:3.95,5.12,14.55,21.1,6.85,3.68,6.29,1.92,5.18,0.0
2024-11-22 15:36:01,634.0,1.02,4.04,11.9,1:3.97,5.01,14.34,21.1,6.83,3.66,6.27,1.92,5.17,0.0
2024-11-22 15:36:09,648.0,1.02,4.04,11.9,1:3.95,5.1,14.67,21.1,6.82,3.65,6.25,1.91,5.17,0.0
2024-11-22 15:36:18,652.0,1.02,4.04,11.9,1:3.97,5.18,14.46,21.1,6.82,3.64,6.22,1.91,5.16,0.0
2024-11-22 15:36:27,618.0,1.02,4.04,11.9,1:3.97,5.22,13.96,21.1,6.79,3.62,6.2,1.92,5.14,0.0
2024-11-22 15:36:35,595.0,1.02,4.04,11.9,1:3.95,5.11,13.58,21.1,6.77,3.61,6.18,1.92,5.13,0.0
2024-11-22 15:36:44,578.0,1.01,4.04,11.9,1:3.99,5.0,13.27,21.1,6.76,3.6,6.15,1.91,5.12,0.0
2024-11-22 15:36:53,576.0,1.02,4.04,11.9,1:3.95,5.14,13.39,21.1,6.76,3.58,6.13,1.91,5.12,0.0
2024-11-22 15:37:02,636.0,1.02,4.04,11.9,1:3.96,5.1,14.32,21.1,6.74,3.57,6.11,1.9,5.1,0.0
2024-11-22 15:37:11,599.0,1.02,4.04,11.9,1:3.97,5.02,13.69,21.1,6.72,3.56,6.09,1.9,5.09,0.0
2024-11-22 15:37:19,525.0,1.0,4.04,11.9,1:4.05,5.07,12.52,21.1,6.8,3.54,6.07,1.89,5.14,0.0
2024-11-22 15:37:28,638.0,1.02,4.04,11.9,1:3.96,5.15,14.31,21.1,6.79,3.53,6.04,1.89,5.12,0.0
2024-11-22 15:37:37,606.0,1.03,4.04,11.8,1:3.92,4.99,13.75,21.1,6.76,3.52,6.02,1.89,5.11,0.0
2024-11-22 15:37:46,512.0,1.02,4.04,11.9,1:3.95,5.1,12.27,21.1,6.88,3.51,6.0,1.88,5.18,0.0
2024-11-22 15:37:54,633.0,1.03,4.03,11.9,1:3.90,5.06,14.23,21.1,6.86,3.49,5.99,1.88,5.17,0.0
2024-11-22 15:38:03,605.0,1.01,4.04,11.9,1:3.98,5.1,13.82,21.1,6.84,3.48,5.97,1.87,5.15,0.0
2024-11-22 15:38:12,617.0,1.03,4.04,11.8,1:3.90,5.07,13.93,21.1,6.81,3.47,5.95,1.86,5.13,0.0
2024-11-22 15:38:21,632.0,1.02,4.04,11.9,1:3.95,5.12,14.31,21.1,6.8,3.46,5.93,1.86,5.12,0.0
2024-11-22 15:38:30,669.0,1.02,4.04,11.9,1:3.96,5.1,14.9,21.1,6.82,3.45,5.91,1.85,5.14,0.0
2024-11-22 15:38:38,572.0,1.02,4.01,11.9,1:3.94,5.1,13.26,21.1,6.81,3.43,5.89,1.85,5.14,0.0
2024-11-22 15:38:47,599.0,1.02,4.04,11.9,1:3.94,5.25,13.72,21.1,6.79,3.42,5.87,1.86,5.12,0.0
2024-11-22 15:38:56,579.0,1.03,4.04,11.8,1:3.91,5.13,13.35,21.1,6.79,3.41,5.85,1.86,5.11,0.0
2024-11-22 15:39:05,591.0,1.03,4.04,11.9,1:3.93,5.0,13.55,21.1,6.77,3.4,5.83,1.86,5.1,0.0
2024-11-22 15:39:14,642.0,1.02,4.04,11.9,1:3.95,5.03,14.49,21.1,6.76,3.39,5.82,1.85,5.09,0.0
2024-11-22 15:39:23,609.0,1.02,4.04,11.9,1:3.95,4.98,13.74,21.1,6.74,3.38,5.8,1.85,5.08,0.0
2024-11-22 15:39:31,638.0,1.02,4.04,11.9,1:3.97,4.96,14.34,21.1,6.72,3.37,5.78,1.85,5.07,0.0
2024-11-22 15:39:40,603.0,1.02,4.04,11.9,1:3.97,4.96,13.82,21.1,6.7,3.36,5.76,1.86,5.05,0.0
2024-11-22 15:39:49,627.0,1.06,4.04,11.8,1:3.80,5.06,14.08,21.1,6.68,3.35,5.75,1.85,5.04,0.0
2024-11-22 15:39:58,594.0,1.03,4.04,11.8,1:3.94,5.05,13.51,21.1,6.66,3.34,5.74,1.84,5.02,0.0
2024-11-22 15:40:06,576.0,1.02,4.04,11.9,1:3.97,5.17,13.28,21.1,6.66,3.32,5.72,1.85,5.02,0.0
2024-11-22 15:40:15,659.0,1.02,4.04,11.9,1:3.96,5.17,14.69,21.1,6.67,3.31,5.7,1.85,5.03,0.0
2024-11-22 15:40:24,611.0,1.02,4.04,11.9,1:3.97,5.14,13.87,21.1,6.65,3.3,5.68,1.84,5.01,0.0
2024-11-22 15:40:32,565.0,1.02,4.04,11.9,1:3.97,5.19,13.1,21.1,6.65,3.29,5.66,1.85,5.01,0.0
2024-11-22 15:40:41,501.0,1.01,4.04,11.9,1:4.00,4.99,12.11,21.1,6.78,3.28,5.65,1.85,5.1,0.0
2024-11-22 15:40:50,627.0,1.02,4.04,11.9,1:3.95,5.27,14.24,21.1,6.77,3.27,5.63,1.87,5.09,0.0
2024-11-22 15:40:58,606.0,1.02,4.04,11.9,1:3.95,5.03,13.78,21.1,6.75,3.26,5.61,1.86,5.07,0.0
2024-11-22 15:41:07,626.0,1.02,4.04,11.9,1:3.96,5.07,14.16,21.1,6.73,3.25,5.6,1.86,5.06,0.0
2024-11-22 15:41:16,586.0,1.03,4.04,11.8,1:3.91,5.04,13.31,21.1,6.72,3.24,5.58,1.85,5.05,0.0
2024-11-22 15:41:25,613.0,1.02,4.04,11.9,1:3.97,5.09,13.98,21.1,6.69,3.23,5.56,1.85,5.04,0.0
2024-11-22 15:41:34,612.0,1.03,4.04,11.8,1:3.91,5.11,13.91,21.1,6.67,3.22,5.55,1.84,5.02,0.0
2024-11-22 15:41:42,579.0,1.03,4.04,11.8,1:3.92,5.17,13.33,21.1,6.67,3.22,5.53,1.84,5.02,0.0
2024-11-22 15:41:51,652.0,1.02,4.04,11.9,1:3.95,5.21,14.6,21.1,6.67,3.21,5.52,1.85,5.02,0.0
2024-11-22 15:42:00,590.0,1.03,4.04,11.8,1:3.93,5.22,13.56,21.1,6.65,3.2,5.5,1.86,5.01,0.0
2024-11-22 15:42:09,601.0,1.02,4.04,11.9,1:3.96,5.01,13.73,21.1,6.63,3.19,5.49,1.85,4.99,0.0
2024-11-22 15:42:17,663.0,1.03,4.03,11.9,1:3.92,5.09,14.68,21.1,6.65,3.18,5.47,1.85,5.0,0.0
2024-11-22 15:42:26,593.0,1.02,4.04,11.9,1:3.95,4.94,13.68,21.1,6.63,3.17,5.46,1.85,4.99,0.0
2024-11-22 15:42:35,635.0,1.02,4.04,11.9,1:3.97,5.18,14.27,21.1,6.62,3.16,5.44,1.86,4.98,0.0
2024-11-22 15:42:44,637.0,1.01,4.05,11.9,1:3.99,5.04,14.39,21.1,6.61,3.15,5.43,1.85,4.97,0.0
2024-11-22 15:42:52,603.0,1.03,4.04,11.8,1:3.90,5.15,13.62,21.1,6.59,3.14,5.41,1.85,4.96,0.0
2024-11-22 15:43:01,590.0,1.02,4.04,11.9,1:3.94,5.2,13.55,21.1,6.58,3.13,5.4,1.85,4.95,0.0
2024-11-22 15:43:10,557.0,1.01,4.04,11.9,1:3.98,5.18,12.87,21.1,6.59,3.12,5.38,1.85,4.96,0.0
2024-11-22 15:43:18,579.0,1.01,4.04,11.9,1:4.01,4.98,13.36,21.1,6.58,3.12,5.37,1.85,4.96,0.0
2024-11-22 15:43:27,554.0,1.02,4.05,11.8,1:3.96,5.01,12.99,21.1,6.6,3.11,5.35,1.85,4.96,0.0
2024-11-22 15:43:36,638.0,1.03,4.04,11.8,1:3.91,5.04,14.28,21.1,6.59,3.1,5.34,1.85,4.96,0.0
2024-11-22 15:43:45,563.0,1.02,4.04,11.9,1:3.97,5.13,12.96,21.1,6.6,3.09,5.33,1.84,4.97,0.0
2024-11-22 15:43:54,615.0,1.02,4.04,11.9,1:3.97,5.15,13.99,21.1,6.58,3.08,5.31,1.84,4.95,0.0
2024-11-22 15:44:02,614.0,1.03,4.04,11.8,1:3.92,5.03,13.76,21.1,6.56,3.07,5.3,1.84,4.94,0.0
2024-11-22 15:44:11,571.0,1.03,4.04,11.8,1:3.94,5.02,13.17,21.1,6.56,3.07,5.28,1.84,4.94,0.0
2024-11-22 15:44:19,598.0,1.03,4.04,11.8,1:3.92,5.14,13.62,21.1,6.55,3.06,5.27,1.83,4.93,0.0
2024-11-22 15:44:28,709.0,1.02,4.04,11.9,1:3.96,5.08,15.7,21.1,6.64,3.05,5.26,1.83,5.01,0.0
2024-11-22 15:44:36,609.0,1.01,4.06,11.8,1:4.03,5.15,13.87,21.1,6.62,3.04,5.24,1.83,5.0,0.0
2024-11-22 15:44:45,511.0,1.02,4.04,11.9,1:3.96,5.03,12.19,21.1,6.71,3.03,5.23,1.82,5.06,0.0
2024-11-22 15:44:54,676.0,1.02,4.06,11.8,1:3.98,5.09,14.96,21.1,6.74,3.03,5.22,1.82,5.08,0.0
2024-11-22 15:45:02,601.0,1.02,4.04,11.9,1:3.96,5.15,13.78,21.1,6.72,3.02,5.2,1.82,5.07,0.0
2024-11-22 15:45:11,545.0,1.01,4.04,11.9,1:3.98,4.88,12.8,21.1,6.75,3.01,5.19,1.83,5.08,0.0
2024-11-22 15:45:19,572.0,1.03,4.04,11.8,1:3.93,5.1,13.07,21.1,6.74,3.0,5.18,1.83,5.09,0.0
2024-11-22 15:45:28,606.0,1.03,4.04,11.8,1:3.92,5.27,13.93,21.1,6.73,2.99,5.16,1.84,5.08,0.0
